RESULTADOS DEL ALGORITMO GENÉTICO
============================================================

Generación 016 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 017 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 018 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 019 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 020 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 021 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 022 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 023 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 024 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 025 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 026 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 027 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 028 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 029 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 030 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 031 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
Generación 032 | Fitness: 0.468887 | Cobertura: 49.63% | Potencia: 280 W | Focos: 5 | Iluminación promedio: 25.88 lux | Mínima: 0.05 lux | Máxima: 93.68 lux
